,title,body
0,[주간부동산시황]서울 재건축 0.54% 하락…투기과열지구 상승세 꺾여,"대책 발표 후 한 달 매매가격 비교. ⓒ부동산114


다주택자 양도세 중과와 조합원 지위양도 금지 등의 규제가 담긴 8.2 부동산 대책 효과가 강남권 재건축 시장에서 뚜렷이 나타나고 있다.

특히 지난 6.19 부동산 대책 발표 후 한 달동안 서울 재건축가격은 1.76% 급등한 반면 8.2 대책 발표 이후 한 달은 0.54% 하락 반전했다.

같은 기간 서울 일반아파트는 상승세가 둔화되며 0.31% 소폭 오르는데 그쳤다. 투기지역과 투기과열지구를 피한 신도시는 같은 기간 서울(0.17%)과 경기·인천(0.13%) 보다 변동률이 소폭 높은 0.3% 올랐다.

1일 부동산114에 따르면 서울 아파트 매매가격은 서울은 재건축 하락폭이 커지면서 0.02% 오르는데 그쳤다. 5주 연속 상승률이 둔화세를 이어가고 있는 것이다.

서울 재건축 시장은 0.12% 하락했다. ▲강동(-0.29%) ▲강남(-0.23%) ▲서초(-0.03%) 지역에서 재건축 하락폭이 커졌다.

서울은 ▲금천(0.34%) ▲중랑(0.27%) ▲구로(0.24%) ▲관악(0.11%) ▲양천(0.09%) ▲은평(0.08%) ▲동작(0.07%)이 상승했다.

반면 ▲강남(-0.10%) ▲강동(-0.06%) ▲용산(-0.01%) 지역은 하락했다. 강남은 매수자들이 추가 가격 하락을 기대하며 거래에 나서지 않아 대치동 은마가 2000만~3500만원 하락했다.

강동은 둔촌동 둔촌주공1~3단지 가격이 500만~2500만원 떨어졌다. 용산은 이촌동 한가람건영2차가 2000만원 떨어졌다.

신도시는 ▲평촌(0.13%) ▲일산(0.11%) ▲김포한강(0.07%) ▲산본(0.06%) ▲판교(0.06%) 지역이 상승했다. 규제를 빗겨간 평촌, 일산 등 1기신도시는 편리한 생활여건까지 갖춰 실수요자들로부터 매수세가 이어졌다.

평촌은 호계동 목련우성7단지가 1000만~1500만원, 비산동 관악청구가 500만~1000만원 올랐다. 일산은 백석동 흰돌3단지국제한진이 750만~1000만원, 백송5단지삼호풍림이 750만~2000만원 상승했다.

경기·인천은 ▲의왕(0.19%) ▲부천(0.12%) ▲군포(0.11%) ▲시흥(0.11%) ▲광주(0.07%) ▲안양(0.06%) ▲성남(0.05%) ▲하남(0.05%) ▲인천(0.04%) 지역이 올랐다.

지역별 주간 아파트값 변동률. ⓒ부동산114


전세시장은 안정세를 이어가고 있다. 서울(0.03%)과 경기·인천(0.01%)은 전주와 비슷한 수준을 보였다. 신도시는 동탄2신도시 입주물량 여파로 0.03% 하락했다.

서울은 ▲관악(0.20%) ▲구로(0.11%) ▲용산(0.11%) ▲강동(0.08%) ▲강북(0.08%) ▲서대문(0.07%) ▲동대문(0.05%) ▲은평(0.05%) 지역이 올랐다.

신도시는 ▲광교(0.03%) ▲김포한강(0.02%) ▲평촌(0.01%) ▲산본(0.01%) 지역이 올랐다. 광교는 광교호반베르디움이 500만원 상승했다.

반면 ▲동탄(-0.21%) ▲판교(-0.03%) ▲일산(-0.01%) 지역은 하락했다. 동탄은 동탄2신도시 입주영향으로 동탄1신도시 전세가격 하락폭이 커지고 있다.

경기·인천은 ▲광주(0.14%) ▲인천(0.06%) ▲구리(0.05%) ▲김포(0.05%) ▲부천(0.05%) ▲파주(0.05%) 지역이 올랐다.

반면 경기도 외곽과 입주물량이 집중된 곳에서 전세가격이 하락했다. ▲오산(-0.25%) ▲의정부(-0.24%) ▲과천(-0.16%) ▲광명(-0.04%) ▲화성(-0.01%) ▲수원(-0.01%) 지역이 떨어졌다.

이미윤 부동산114 책임연구원은 ""주택구입 자금을 옥죄는 대출규제가 추가로 발표되면 매수 심리가 위축돼 가격 하락세가 지속될 것으로 보인다""며 ""북한의 지정학정 리스크와 가계부채대책 추가 발표 예고로 8.2대책의 효과가 하반기까지 이어져 주택시장의 안정화가 유지될 것으로 보고 있어 금리 움직임에 귀추가 주목된다""고 전했다.

그는 또 ""청약 수요가 몰리면서 재건축 시장에 청약열풍이 이어질지 관심이 모아지고 있지만 대출제한과 청약규제 강화로 과열현상 지속이 쉽지 않을 전망""이라며 ""재건축 이주수요 발생 지역에서 국지적인 전세가격 상승이 나타나지만 인근지역에 미치는 영향은 제한적이고, 입주물량이 집중된 2기신도시와 인근 지역의 전세가격 하락세가 길어지고 있다""고 말했다.

데일리안 권이상 기자

ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지"
1,"[보은소식]보은군, ‘찾아가는 부동산종합정보 서비스’ 운영 등","【보은=뉴시스】이성기 기자 = ◇보은군, ‘찾아가는 부동산종합정보 서비스’ 운영

충북 보은군은 ‘찾아가는 부동산종합정보 서비스’를 오는 8일 오전 10시부터 오후 3시까지 보은군 탄부면행정복지센터 회의실에서 운영한다고 1일 밝혔다.

이 서비스는 읍·면 현지를 직접 방문해 군민 생활과 밀접한 부동산종합정보를 제공하고 부동산 관련 상담으로 맞춤형 부동산 서비스를 제공한다.

이날 찾아가는 부동산종합정보 서비스에서는 충북도청 토지정보팀, 군 지적계, 이좌용 법무사, 이아브람함 세무사, 한국토지정보공사 옥천보은군지사가 참여해 민·관 합동으로 운영한다.

이날 현장에서는 필지별 부동산종합공부와 개인 토지소유현황을 제공하며 조상 땅 찾기 서비스, 토지이동 등 국토정보시스템과 부동산종합공부시스템의 전산 자료를 활용한 개인별 맞춤형 토지정보 서비스를 제공한다.

토지소유권이나 세무 관련 무료 법률 상담도 진행한다.

◇보은군, 2017 레드서클 캠페인 펼쳐

보은군보건소(소장 이종란)는 심뇌혈관질환 예방관리 주간을 맞아 1일 보은읍 중앙사거리에서 레드서클 합동캠페인을 펼쳤다.

전국의 지자체가 참여하는 이번 합동 캠페인은 인식개선과 생활실천 등 행동변화를 통한 심뇌혈관질환 예방을 중점 홍보했다.

군 보건소는 보은읍 중앙사거리에 부스를 설치하고 지역 주민을 대상으로 혈압·혈당 측정, 건강 상담 등을 했다. 심뇌혈관 질환예방 홍보 책자와 홍보물도 나눠줬다.

저염식 체험, 스트레스 지수 측정, 금연상담, 우울증, 암검진 홍보 등 다양한 보건 캠페인도 전개했다.

군은 이번 캠페인에서 발견된 고위험군 대상자에게 혈압·혈압·혈당 재측정, 중풍 사전 기초검사를 진행할 계획이다.

◇보은군 삼승면 지역사회보장협의체, 정기회의 개최

보은군 삼승면 지역사회보장협의체(공동위원장 윤광훈, 강병우)는 1일 면 행정복지센터에서 정기회의를 개최했다.

지난 7월 탄부·삼승·장안·마로면이 하나의 허브로 뭉쳐짐에 따라 삼승면 지역사회보장협의체의 역할과 기능을 다시 한 번 이해하고, 민·관이 하나 돼 나아갈 방향을 모색하는 자리였다.

회의를 통해 복지사각지대 위기가구 발굴과 찾아가는 서비스제공에 적극적으로 노력하기로 했다.

‘긴급구호사업’, ‘행복나눔지원사업’ 등의 특화사업을 추진하기 위한 구체적인 방안도 논의했다.

sklee@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
2,8.2 부동산 규제 한 달 '거래는 언제쯤',"(서울=뉴스1) 이승배 기자 = 1일 오후 서울 송파구의 한 공인중계사 사무소 밀집지역에 전-월세 거래 알림판이 게시 돼 있다.

정부의 부동산 규제 정책인 '8.2 대책'이 발표되고 한 달이 지난 지금 서울 아파트 시장이 매도자들과 매수자들의 추가 가격 하락을 기대하는 관망세로 주택 시장은 매매가 이뤄지지 않는 이른바 '거래 절벽' 현상이 나타나고 있다.

부동산 업계에 따르면 전·월세와 더불어 양도소득세를 비롯한 '세금 폭탄'을 피하려는 집주인들이 급매물로 집을 내놓는 경우가 증가했다고 밝혔다. 2017.9.1/뉴스1

photolee@



▶ 여러분의 제보를 기다립니다. 제보하기(클릭!)
[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
3,"'부동산 규제 한 달, 아파트 거래 시장은?'","(서울=뉴스1) 이승배 기자 = 1일 오후 서울 송파구의 한 공인중계사 사무소 밀집지역에 전·월세 매물 알림판이 게시 돼 있다.

정부의 부동산 규제 정책인 '8.2 대책'이 발표되고 한 달이 지난 지금 서울 아파트 시장이 매도자들과 매수자들의 추가 가격 하락을 기대하는 관망세로 주택 시장은 매매가 이뤄지지 않는 이른바 '거래 절벽' 현상이 나타나고 있다.

부동산 업계에 따르면 전·월세와 더불어 양도소득세를 비롯한 '세금 폭탄'을 피하려는 집주인들이 급매물로 집을 내놓는 경우가 증가했다고 밝혔다. 2017.9.1/뉴스1

photolee@



▶ 여러분의 제보를 기다립니다. 제보하기(클릭!)
[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
4,"8.2 부동산 대책 한 달, 급매물과 전·월세의 증가","(서울=뉴스1) 이승배 기자 = 1일 오후 서울 송파구의 한 부동산 업소 밀집지역에 전·월세와 매물 전단이 보이고 있다. 정부의 부동산 규제 정책인 '8.2 대책'이 발표되고 한 달이 지난 지금 서울 아파트 시장이 매도자들과 매수자들의 추가 가격 하락을 기대하는 관망세로 주택 시장은 매매가 이뤄지지 않는 이른바 '거래 절벽' 현상이 나타나고 있다. 또한 부동산 업계에 따르면 전·월세와 더불어 양도소득세를 비롯한 '세금 폭탄'을 피하려는 집주인들이 급매물로 집을 내놓는 경우가 증가했다고 밝혔다. 2017.9.1/뉴스1

photolee@



▶ 여러분의 제보를 기다립니다. 제보하기(클릭!)
[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
5,부동산 관심,"【서울=뉴시스】최동준 기자 = 2일 서울 강남구 영동대로 자이갤러리에 마련된 GS건설 '신반포센트럴자이' 모델하우스를 찾은 시민들이 입장을 기다리고 있다. 2017.09.02. (사진=GS건설 제공)

photo@newsis.com

[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
6,"부동산 대책 한 달, 모델하우스 찾은 시민들","사진=GS건설 제공


2일 서울 강남구 영동대로 자이갤러리에 마련된 GS건설 '신반포센트럴자이' 모델하우스를 찾은 시민들이 상담을 받기 위해 기다리고 있다. 뉴시스

[국민일보 홈페이지] [페이스북]
[취재대행소 왱!(클릭)]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
7,부동산 관심,"【서울=뉴시스】최동준 기자 = 2일 서울 강남구 영동대로 자이갤러리에 마련된 GS건설 '신반포센트럴자이' 모델하우스를 찾은 시민들이 입장을 기다리고 있다. 2017.09.02. (사진=GS건설 제공)

photo@newsis.com

[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
8,"부동산 대책 한 달, 모델하우스 찾은 시민들","【서울=뉴시스】최동준 기자 = 2일 서울 강남구 영동대로 자이갤러리에 마련된 GS건설 '신반포센트럴자이' 모델하우스를 찾은 시민들이 시설을 살펴보고 있다. 2017.09.02. (사진=GS건설 제공)

photo@newsis.com

[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
9,"부동산 대책 한 달, 모델하우스 찾은 시민들","【서울=뉴시스】최동준 기자 = 2일 서울 강남구 영동대로 자이갤러리에 마련된 GS건설 '신반포센트럴자이' 모델하우스를 찾은 시민들이 상담을 받기 위해 기다리고 있다. 2017.09.02. (사진=GS건설 제공)

photo@newsis.com

[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
